動畫名稱,ID,集數,年份,季節,字幕組
最狂輔助職業【話術士】世界最強戰團聽我號令,1522,1-12,2024,秋,
妻子變成小學生。,1551,1-12,2024,秋,喵萌奶茶屋
魔王陛下，RETRY！R(重來吧，魔王大人！ R) 第二季,1519,1-12,2024,秋,
2.5次元的誘惑,1485,1-24,2024,夏,
孤單一人的異世界攻略,1518,1-12,2024,秋,
Acro Trip 頂尖惡路,1524,1-12,2024,秋,
"<a href=""https://anime1.pw/?cat=47"">大正虛假新娘～替身新娘與軍人的猛烈熱愛～</a>",0,1-8,2024,秋,桜都
TRUMP 系列 Delicoʼs Nursery,1514,1-13,2024,夏,喵萌奶茶屋
女神咖啡廳 第二季,1508,13-24,2024,夏,喵萌奶茶屋
放學後少年花子君,1367,1-8,2023/2024,秋,MCE漢化組
我的幸福婚約,1264,1-12+OAD,2023,夏,喵萌奶茶屋
異世界失格,1513,1-12,2024,夏,-
DDDD 惡魔的破壞,1516,0-17,2024,夏,Billion Meta Lab
搖曳露營△ SEASON3(第三季),1429,1-12+SP1-3,2024,春,
物語系列 第外季＆第怪季,1494,1-14,2024,夏,桜都
精靈小姐瘦不了,1495,1-12+SP1-2,2024,夏,
雙生戀情密不可分,1511,1-12,2024,夏,喵萌奶茶屋
寶可夢 地平線 太晶化初登場,1467,46-67,2024,春,楓葉
我的英雄學院 第七季,1439,1-21+SP1-4,2024,春,
卡片戰鬥!! 先導者 Divinez 第二季,1490,1-13,2024,夏,
【我推的孩子】 第二季,1477,12-24,2024,夏,
夜櫻家大作戰,1443,1-27,2024,春,
ATRI -My Dear Moments-,1497,1-13,2024,夏,
"<a href=""https://anime1.pw/?cat=45"">夜遊生活！</a>",0,1-8,2024,夏,桜都
殺手寓言,1449,1-25,2024,春,幻櫻
變成菜變成花(少女如草花綻放),1512,1-12,2024,夏,桜都
狼與辛香料 MERCHANT MEETS THE WISE WOLF,1428,1-25,2024,春,桜都
杖與劍的魔劍譚,1498,1-12,2024,夏,
敗北女角太多了！,1510,1-12,2024,夏,
擅長逃跑的殿下,1493,1-12,2024,夏,
為何我的世界被遺忘了？,1509,1-12,2024,夏,
天穗之咲稻姬,1491,1-13,2024,夏,
關於我轉生變成史萊姆這檔事 第三季,1421,1-24,2024,春,
這個世界漏洞百出,1487,1-13,2024,夏,
尼爾：自動人形 Ver1.1a,1179,1-24,2023/2024,冬/夏,喵萌奶茶屋
地下城中的人,1486,1-12,2024,夏,
現代誤譯,1506,1-12,2024,夏,
靠廢柴技能【狀態異常】成為最強的我將蹂躪一切,1482,1-12,2024,夏,
義妹生活,1489,1-12,2024,夏,撥雪尋春
曾經、魔法少女和邪惡相互為敵。,1503,1-12,2024,夏,
哎咕島消失的舔甜歌姬,1504,1-12,2024,夏,
新人大叔冒險者，被最強隊伍操到死成無敵,1475,1-12,2024,夏,
SHY 靦腆英雄 第二季,1474,13-24,2024,夏,
深夜重拳,1470,1-12,2024,夏,
金肉人 完美超人始祖篇,1502,1-11,2024,夏,
身為VTuber的我因為忘記關台而成了傳說,1500,1-12,2024,夏,
拉麵赤貓,1483,1-12,2024,夏,極影
模擬後宮體驗,1481,1-12,2024,夏,
我要【招架】一切～反誤解的世界最強想成為冒險家～,1479,1-12,2024,夏,
黃昏光影,1480,1-12,2024,夏,
鹿乃子乃子乃子虎視眈眈,1488,1-12,2024,夏,SweetSub
不時輕聲地以俄語遮羞的鄰座艾莉同學,1476,1-12,2024,夏,喵萌奶茶屋
